Sat May  8 15:06:29 2021, 1620457589, 5.39.83.67, 192.168.43.178, 20480, 33426, RST, TCP, 4
Sat May  8 15:06:33 2021, 1620457593, 51.81.35.164, 192.168.43.178, 34528, 2231, ACK, TCP, 4
Sat May  8 15:06:33 2021, 1620457593, 192.168.43.178, 51.81.35.164, 2231, 34528, ACK, TCP, 4
Sat May  8 15:06:33 2021, 1620457593, 51.81.35.164, 192.168.43.178, 34528, 2231, ACK, TCP, 4
Sat May  8 15:06:33 2021, 1620457593, 192.168.43.178, 51.81.35.164, 2231, 34528, ACK, TCP, 4
Sat May  8 16:42:50 2021, 1620463370, 51.195.118.69, 192.168.43.178, 57939, 63643, ACK, TCP, 4
Sat May  8 16:42:50 2021, 1620463370, 51.195.118.69, 192.168.43.178, 57939, 61595, ACK, TCP, 4
Sat May  8 16:42:50 2021, 1620463370, 192.168.43.178, 51.195.118.69, 63643, 57939, ACK, TCP, 4
Sat May  8 16:42:50 2021, 1620463370, 51.195.118.69, 192.168.43.178, 57939, 63643, ACK, TCP, 4
Sat May  8 16:42:50 2021, 1620463370, 192.168.43.178, 51.195.118.69, 63643, 57939, ACK, TCP, 4
Sat May  8 16:42:50 2021, 1620463370, 192.168.43.178, 51.195.118.69, 61595, 57939, ACK, TCP, 4
Sat May  8 16:42:50 2021, 1620463370, 192.168.43.178, 51.195.118.69, 52891, 57939, ACK, TCP, 4
Sat May  8 16:42:50 2021, 1620463370, 51.195.118.69, 192.168.43.178, 57939, 52891, ACK, TCP, 4
Sat May  8 16:42:50 2021, 1620463370, 51.195.118.69, 192.168.43.178, 57939, 52891, ACK, TCP, 4
Sat May  8 16:42:50 2021, 1620463370, 192.168.43.178, 51.195.118.69, 52891, 57939, ACK, TCP, 4
Sat May  8 16:42:50 2021, 1620463370, 51.195.118.69, 192.168.43.178, 57939, 156, ACK, TCP, 4
Sat May  8 16:42:50 2021, 1620463370, 192.168.43.178, 51.195.118.69, 156, 57939, ACK, TCP, 4
Sat May  8 16:42:50 2021, 1620463370, 51.195.118.69, 192.168.43.178, 57939, 156, ACK, TCP, 4
Sat May  8 16:42:50 2021, 1620463370, 192.168.43.178, 51.195.118.69, 156, 57939, ACK, TCP, 4
Sat May  8 16:42:50 2021, 1620463370, 218.201.36.32, 192.168.43.178, 47873, 14033, SYN, TCP, 4
Sat May  8 16:42:50 2021, 1620463370, 183.232.231.172, 192.168.43.178, 47873, 23689, SYN, TCP, 4
Sat May  8 16:42:50 2021, 1620463370, 183.232.231.172, 192.168.43.178, 47873, 24201, SYN, TCP, 4
