Fri May  7 20:32:00 2021, 1620390720, 192.168.137.203, 192.168.43.178, 1293, 63909, SYN, TCP, 4
Fri May  7 20:32:00 2021, 1620390720, 192.168.137.203, 192.168.43.178, 1293, 65475, SYN, TCP, 4
Fri May  7 20:32:00 2021, 1620390720, 192.168.137.203, 192.168.43.178, 1293, 25546, SYN, TCP, 4
Fri May  7 20:32:00 2021, 1620390720, 192.168.137.203, 192.168.43.178, 1293, 25550, SYN, TCP, 4
Fri May  7 20:32:00 2021, 1620390720, 192.168.137.203, 192.168.43.178, 1293, 33217, SYN, TCP, 4
Fri May  7 20:32:00 2021, 1620390720, 192.168.137.203, 192.168.43.178, 1293, 37294, SYN, TCP, 4
Fri May  7 20:32:00 2021, 1620390720, 192.168.137.203, 192.168.43.178, 1293, 13281, SYN, TCP, 4
Fri May  7 20:32:00 2021, 1620390720, 192.168.137.203, 192.168.43.178, 1293, 28038, SYN, TCP, 4
Fri May  7 20:32:00 2021, 1620390720, 192.168.137.203, 192.168.43.178, 1293, 12251, SYN, TCP, 4
Fri May  7 20:32:00 2021, 1620390720, 192.168.137.203, 192.168.43.178, 1293, 22488, SYN, TCP, 4
Fri May  7 20:32:00 2021, 1620390720, 192.168.137.203, 192.168.43.178, 1293, 403, SYN, TCP, 4
Fri May  7 20:32:00 2021, 1620390720, 192.168.137.203, 192.168.43.178, 1293, 45026, SYN, TCP, 4
Fri May  7 20:32:00 2021, 1620390720, 192.168.137.203, 192.168.43.178, 1293, 33743, SYN, TCP, 4
Fri May  7 20:32:00 2021, 1620390720, 192.168.137.203, 192.168.43.178, 1293, 19944, SYN, TCP, 4
Fri May  7 20:32:00 2021, 1620390720, 192.168.137.203, 192.168.43.178, 1293, 14806, SYN, TCP, 4
Fri May  7 20:32:00 2021, 1620390720, 192.168.137.203, 192.168.43.178, 1293, 55173, SYN, TCP, 4
Fri May  7 20:32:00 2021, 1620390720, 192.168.137.203, 192.168.43.178, 1293, 50665, SYN, TCP, 4
Fri May  7 20:32:00 2021, 1620390720, 192.168.137.203, 192.168.43.178, 1293, 38345, SYN, TCP, 4
Fri May  7 20:32:00 2021, 1620390720, 192.168.137.203, 192.168.43.178, 1293, 58805, SYN, TCP, 4
Fri May  7 20:32:00 2021, 1620390720, 192.168.137.203, 192.168.43.178, 1293, 64493, SYN, TCP, 4
Fri May  7 20:32:00 2021, 1620390720, 192.168.137.203, 192.168.43.178, 1293, 12162, SYN, TCP, 4
Fri May  7 20:32:00 2021, 1620390720, 192.168.137.203, 192.168.43.178, 1293, 30173, SYN, TCP, 4
Fri May  7 20:32:00 2021, 1620390720, 192.168.137.203, 192.168.43.178, 1293, 23965, SYN, TCP, 4
Fri May  7 20:32:00 2021, 1620390720, 192.168.137.203, 192.168.43.178, 1293, 27627, SYN, TCP, 4
Fri May  7 20:32:00 2021, 1620390720, 192.168.137.203, 192.168.43.178, 1293, 6123, SYN, TCP, 4
Fri May  7 20:32:00 2021, 1620390720, 192.168.137.203, 192.168.43.178, 1293, 1445, SYN, TCP, 4
Fri May  7 20:32:00 2021, 1620390720, 192.168.137.203, 192.168.43.178, 1293, 58312, SYN, TCP, 4
Fri May  7 20:32:00 2021, 1620390720, 192.168.137.203, 192.168.43.178, 1293, 34216, SYN, TCP, 4
Fri May  7 20:32:00 2021, 1620390720, 192.168.137.203, 192.168.43.178, 1293, 64908, SYN, TCP, 4
Fri May  7 20:32:00 2021, 1620390720, 192.168.137.203, 192.168.43.178, 1293, 43492, SYN, TCP, 4
Fri May  7 20:32:00 2021, 1620390720, 192.168.137.203, 192.168.43.178, 1293, 4554, SYN, TCP, 4
Fri May  7 20:32:00 2021, 1620390720, 192.168.137.203, 192.168.43.178, 1293, 19898, SYN, TCP, 4
Fri May  7 20:32:00 2021, 1620390720, 192.168.137.203, 192.168.43.178, 1293, 30599, SYN, TCP, 4
Fri May  7 20:32:00 2021, 1620390720, 192.168.137.203, 192.168.43.178, 1293, 20870, SYN, TCP, 4
Fri May  7 20:32:00 2021, 1620390720, 192.168.137.203, 192.168.43.178, 1293, 7048, SYN, TCP, 4
Fri May  7 20:32:00 2021, 1620390720, 192.168.137.203, 192.168.43.178, 1293, 37864, SYN, TCP, 4
Fri May  7 20:32:00 2021, 1620390720, 192.168.137.203, 192.168.43.178, 1293, 58813, SYN, TCP, 4
